"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 10 05:06:17 GMT 2021","Fri Dec 10 05:06:18 GMT 2021","598","","Realizando testes da feature de usuario.","","register_user","","Lista usuários cadastrados","Location - spec/tests/register_user.rb:53"
"passed","Fri Dec 10 05:06:12 GMT 2021","Fri Dec 10 05:06:15 GMT 2021","2502","","Realizando testes da feature de usuario.","","register_user","","Cria, Pesquisa e Altera o usuario criado","Location - spec/tests/register_user.rb:23"
"passed","Fri Dec 10 05:06:10 GMT 2021","Fri Dec 10 05:06:12 GMT 2021","1849","","Realizando testes da feature de usuario.","","register_user","","Cria, Pesquisa e Deleta usuario criado","Location - spec/tests/register_user.rb:10"
"passed","Fri Dec 10 05:06:15 GMT 2021","Fri Dec 10 05:06:17 GMT 2021","2505","","Realizando testes da feature de usuario.","","register_user","","Validar regra de email usado, teste negativo","Location - spec/tests/register_user.rb:38"
"passed","Fri Dec 10 05:06:08 GMT 2021","Fri Dec 10 05:06:10 GMT 2021","1946","","Realizando testes da feature de usuario.","","register_user","","Cadastrar usuário de teste, validando o json schema","Location - spec/tests/register_user.rb:3"
