"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 24 05:08:00 GMT 2021","Fri Dec 24 05:08:03 GMT 2021","2643","","Realizando testes da feature de usuario.","","register_user","","Validar regra de email usado, teste negativo","Location - spec/tests/register_user.rb:38"
"passed","Fri Dec 24 05:08:03 GMT 2021","Fri Dec 24 05:08:03 GMT 2021","666","","Realizando testes da feature de usuario.","","register_user","","Lista usuários cadastrados","Location - spec/tests/register_user.rb:53"
"passed","Fri Dec 24 05:07:57 GMT 2021","Fri Dec 24 05:08:00 GMT 2021","2638","","Realizando testes da feature de usuario.","","register_user","","Cria, Pesquisa e Altera o usuario criado","Location - spec/tests/register_user.rb:23"
"passed","Fri Dec 24 05:07:53 GMT 2021","Fri Dec 24 05:07:55 GMT 2021","2157","","Realizando testes da feature de usuario.","","register_user","","Cadastrar usuário de teste, validando o json schema","Location - spec/tests/register_user.rb:3"
"passed","Fri Dec 24 05:07:55 GMT 2021","Fri Dec 24 05:07:57 GMT 2021","2098","","Realizando testes da feature de usuario.","","register_user","","Cria, Pesquisa e Deleta usuario criado","Location - spec/tests/register_user.rb:10"
