"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 03 05:05:56 GMT 2021","Fri Dec 03 05:05:58 GMT 2021","2476","","Realizando testes da feature de usuario.","","register_user","","Cria, Pesquisa e Altera o usuario criado","Location - spec/tests/register_user.rb:23"
"passed","Fri Dec 03 05:05:58 GMT 2021","Fri Dec 03 05:06:01 GMT 2021","2459","","Realizando testes da feature de usuario.","","register_user","","Validar regra de email usado, teste negativo","Location - spec/tests/register_user.rb:38"
"passed","Fri Dec 03 05:05:52 GMT 2021","Fri Dec 03 05:05:54 GMT 2021","1892","","Realizando testes da feature de usuario.","","register_user","","Cadastrar usuário de teste, validando o json schema","Location - spec/tests/register_user.rb:3"
"passed","Fri Dec 03 05:06:01 GMT 2021","Fri Dec 03 05:06:02 GMT 2021","768","","Realizando testes da feature de usuario.","","register_user","","Lista usuários cadastrados","Location - spec/tests/register_user.rb:53"
"passed","Fri Dec 03 05:05:54 GMT 2021","Fri Dec 03 05:05:56 GMT 2021","1858","","Realizando testes da feature de usuario.","","register_user","","Cria, Pesquisa e Deleta usuario criado","Location - spec/tests/register_user.rb:10"
