"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 17 05:06:15 GMT 2021","Fri Dec 17 05:06:17 GMT 2021","2335","","Realizando testes da feature de usuario.","","register_user","","Cria, Pesquisa e Altera o usuario criado","Location - spec/tests/register_user.rb:23"
"passed","Fri Dec 17 05:06:17 GMT 2021","Fri Dec 17 05:06:20 GMT 2021","2330","","Realizando testes da feature de usuario.","","register_user","","Validar regra de email usado, teste negativo","Location - spec/tests/register_user.rb:38"
"passed","Fri Dec 17 05:06:20 GMT 2021","Fri Dec 17 05:06:20 GMT 2021","595","","Realizando testes da feature de usuario.","","register_user","","Lista usuários cadastrados","Location - spec/tests/register_user.rb:53"
"passed","Fri Dec 17 05:06:13 GMT 2021","Fri Dec 17 05:06:15 GMT 2021","1737","","Realizando testes da feature de usuario.","","register_user","","Cria, Pesquisa e Deleta usuario criado","Location - spec/tests/register_user.rb:10"
"passed","Fri Dec 17 05:06:11 GMT 2021","Fri Dec 17 05:06:13 GMT 2021","2016","","Realizando testes da feature de usuario.","","register_user","","Cadastrar usuário de teste, validando o json schema","Location - spec/tests/register_user.rb:3"
