"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 21 05:04:26 GMT 2022","Fri Jan 21 05:04:27 GMT 2022","413","","Realizando testes da feature de usuario.","","register_user","","Cria, Pesquisa e Deleta usuario criado","Location - spec/tests/register_user.rb:10"
"passed","Fri Jan 21 05:04:27 GMT 2022","Fri Jan 21 05:04:28 GMT 2022","526","","Realizando testes da feature de usuario.","","register_user","","Validar regra de email usado, teste negativo","Location - spec/tests/register_user.rb:38"
"passed","Fri Jan 21 05:04:25 GMT 2022","Fri Jan 21 05:04:26 GMT 2022","1354","","Realizando testes da feature de usuario.","","register_user","","Cadastrar usuário de teste, validando o json schema","Location - spec/tests/register_user.rb:3"
"passed","Fri Jan 21 05:04:28 GMT 2022","Fri Jan 21 05:04:28 GMT 2022","122","","Realizando testes da feature de usuario.","","register_user","","Lista usuários cadastrados","Location - spec/tests/register_user.rb:53"
"passed","Fri Jan 21 05:04:27 GMT 2022","Fri Jan 21 05:04:27 GMT 2022","528","","Realizando testes da feature de usuario.","","register_user","","Cria, Pesquisa e Altera o usuario criado","Location - spec/tests/register_user.rb:23"
